avgDuration,listed_in
113.98492462311557,Action & Adventure
113.86383240911891,Dramas
113.10714285714286,Classic Movies
111.57712765957447,Romantic Movies
110.97716658017644,International Movies
110.47736625514403,Music & Musicals
106.6839378238342,Sci-Fi & Fantasy
106.30102040816327,Thrillers
105.38181818181818,Cult Movies
104.91489361702128,Faith & Spirituality
103.76190476190476,Comedies
100.11413043478261,Independent Movies
97.33969465648855,Horror Movies
94.93333333333334,LGBTQ Movies
94.171974522293,Sports Movies
92.84444444444445,Anime Features
81.46825396825396,Children & Family Movies
81,Documentaries
67.33096085409252,Stand-Up Comedy
45.05357142857143,Movies
1.7349265511949135,
