count,director
21,Jan Suter
19,Raúl Campos
14,Marcus Raboy
14,Jay Karas
12,Jay Chapman
9,Martin Scorsese
9,Steven Spielberg
8,Shannon Hartman
8,Lance Bangs
8,Umesh Mehra
8,David Dhawan
8,Johnnie To
7,Quentin Tarantino
7,Ryan Polito
7,Noah Baumbach
7,Yılmaz Erdoğan
7,Hakan Algül
7,Dibakar Banerjee
7,S.S. Rajamouli
7,Robert Rodriguez
7,Cathy Garcia-Molina
6,Matt Askem
6,Vlad Yudin
6,Wenn V. Deramas
6,Priyadarshan
6,Ram Gopal Varma
6,Anurag Kashyap
6,Zoya Akhtar
6,Kevin Smith
6,Omoni Oboli
6,Wong Jing
6,Poj Arnon
6,Kunle Afolayan
6,Robert Vince
6,Tilak Shetty
6,William Lau
6,Riri Riza
6,Fernando Ayllón
6,Leslie Small
6,Rocky Soraya
6,Don Michael Paul
5,Anees Bazmee
5,McG
5,Qaushiq Mukherjee
5,Ken Burns
5,David Batty
5,Lana Wachowski
5,Lilly Wachowski
5,Rajiv Mehra
5,Jesse V. Johnson
5,Steven Soderbergh
5,Ashutosh Gowariker
5,Vishal Bhardwaj
5,Mike Smith
5,Manny Rodriguez
5,Michael Simon
5,Ishi Rudell
5,Troy Miller
5,John Paul Tremblay
5,Sameh Abdulaziz
5,Gajendra Ahire
5,Robb Wells
5,Abbas Alibhai Burmawalla
5,Kıvanç Baruönü
5,Nagesh Kukunoor
5,Mastan Alibhai Burmawalla
5,Mike Clattenburg
5,Justin G. Dyck
5,Madhur Bhandarkar
4,Nishikant Kamat
4,Stan Lathan
4,Chris Stokes
4,Chia-Liang Liu
4,Jeremy Saulnier
4,Jay Roach
4,Steve Carr
4,Hanung Bramantyo
4,Farah Khan
4,Luis Ara
4,Banjong Pisanthanakun
4,Kundan Shah
4,Masahiko Murata
4,Imtiaz Ali
4,Gregory Hoblit
4,Frank Capra
4,Hrishikesh Mukherjee
4,Anurag Basu
4,Hiroyuki Seshita
4,Farhan Akhtar
4,Andy Tennant
4,Rakeysh Omprakash Mehra
4,Milan Luthria
4,Edward Cotterill
4,Hernán Zin
4,Cristina Jacob
4,Prakash Satam
4,Ozan Açıktan
4,Andrew Lau Wai-Keung
4,Christopher Storer
4,Subhash Ghai
4,Werner Herzog
4,Terry Gilliam
4,Toshiya Shinohara
4,Detlev Buck
4,John Huston
4,Clint Eastwood
4,Lee Tamahori
4,Rajkumar Santoshi
4,Mike Newell
4,Rohit Jugraj
4,Joe Camp
4,Joe Berlinger
4,Mae Czarina Cruz
4,Wilson Yip
3,Michael Bay
3,Indra Kumar
3,Vikramaditya Motwane
3,Vicky Matthews
3,David R. Ellis
3,Petra Costa
3,Abhishek Sharma
3,Bobcat Goldthwait
3,Aziz Mirza
3,Jon Rosenbaum
3,Spike Lee
3,Neeraj Pandey
3,Cem Yılmaz
3,Abhishek Kapoor
3,Gerardo Olivares
3,Ashwin Saravanan
3,Pankaj Batra
3,John Schultz
3,Charles Stone III
3,Kobun Shizuno
3,David Fincher
3,Shyam Benegal
3,Niyi Akinmolayan
3,Alfonso Cuarón
3,Ömer Faruk Sorak
3,Bo Burnham
3,Remo D'Souza
3,Rob Minkoff
3,Cheh Chang
3,Note Chern-Yim
3,Mani Ratnam
3,Steve Ball
3,Rob Cohen
3,Rajkumar Hirani
3,Alastair Fothergill
3,Olivia M. Lamasan
3,Clay Glen
3,Eduardo Chauvet
3,Dustin McKenzie
3,David Mackenzie
3,Ron Howard
3,Robert Luketic
3,John Asher
3,Timothy Woodward Jr.
3,Roger Allers
3,Lynn Shelton
3,Gastón Duprat
3,Ron Oliver
3,Dante Lam
3,Raj Kapoor
3,Kazuchika Kise
3,Frank Coraci
3,Abhinay Deo
3,Noriyuki Abe
3,Raj Kumar Gupta
3,David Michôd
3,Steve Sacks
3,Leena Yadav
3,Bejoy Nambiar
3,Karyn Kusama
3,Morgan Neville
3,Antoine Fuqua
3,G.J. Echternkamp
3,Onir
3,Mohamed Hamdy
3,Conrad Helten
3,Louis C.K.
3,Peyton Reed
3,Phillip Noyce
3,Munjal Shroff
3,Jonathan Demme
3,Lekh Tandon
3,Israel Adrián Caetano
3,Mike Flanagan
3,Rohit Shetty
3,Karan Johar
3,Toshiyuki Kubooka
3,Amitoj Mann
3,Orlando von Einsiedel
3,Hasan Karacadağ
3,Alex Lehmann
3,Chandrakant Kulkarni
3,Timo Tjahjanto
3,Neal Brennan
3,Linda Mendoza
3,Sudhir Mishra
3,Mikhail Red
3,David Zucker
3,Barry Sonnenfeld
3,Atom Egoyan
3,Savage Steve Holland
3,Paul Thomas Anderson
3,Ismail Farouk
