show_id,type,title
81145628,Movie,Norm of the North: King Sized Adventure
80221550,TV Show,Archibald's Next Big Thing
81154455,Movie,Article 15
81113928,Movie,Care of Kancharapalem
81052275,Movie,Ee Nagaraniki Emaindi
81132437,Movie,Kill Me If You Dare
80178151,TV Show,The Spy
81176188,Movie,American Factory: A Conversation with the Obamas
81160036,Movie,Saawan
81173255,Movie,The Heretics
81078908,Movie,The World We Make
81155784,Movie,Watchman
81054495,Movie,Mo Gilligan: Momentum
81053893,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna
80200087,Movie,Domino
81053892,Movie,TUNA GIRL
80225885,TV Show,Bard of Blood
81132443,Movie,Deliha 2
80218107,TV Show,Dragons: Rescue Riders
80231903,Movie,In the Shadow of the Moon
