count,name
33,Anupam Kher
30,Shah Rukh Khan
27,Om Puri
27,Naseeruddin Shah
26,Yuki Kaji
26,Akshay Kumar
25,Paresh Rawal
25,Takahiro Sakurai
24,Amitabh Bachchan
23,Boman Irani
22,John Cleese
22,Ashleigh Ball
22,Andrea Libman
19,Kareena Kapoor
18,Tara Strong
18,David Attenborough
18,Fred Tatasciore
18,Vincent Tong
18,Erin Fitzgerald
18,Kay Kay Menon
18,Daisuke Ono
18,Gulshan Grover
17,Kate Higgins
17,Nicolas Cage
17,Laura Bailey
16,Robb Wells
16,Mamoru Miyano
16,Jackie Shroff
16,Debi Derryberry
15,Saif Ali Khan
15,Rajpal Yadav
15,Danny Trejo
15,Asrani
15,Samuel L. Jackson
15,Tomokazu Sugita
15,Molly Shannon
15,Morgan Freeman
15,John Paul Tremblay
15,Michael Palin
15,Ajay Devgn
15,Eric Idle
14,Yashpal Sharma
14,Aamir Khan
14,Kathleen Barr
14,Adil Hussain
14,Kari Wahlgren
14,Brian Drummond
14,Diana Kaarina
14,Alessandro Juliani
14,Amrish Puri
14,Hiroshi Kamiya
14,Samuel West
14,Salman Khan
14,Nawazuddin Siddiqui
14,Terry Jones
14,Priyanka Chopra
14,James Franco
14,Manoj Bajpayee
14,Anil Kapoor
14,Tabitha St. Germain
14,Kana Hanazawa
13,Yuichi Nakamura
13,Saori Hayami
13,Graham Chapman
13,Ai Kayano
13,Katrina Kaif
13,Adam Sandler
13,Ron Perlman
13,Antonio Banderas
13,Irrfan Khan
13,Seth Rogen
13,Junichi Suwabe
13,Terry Gilliam
13,Ian James Corlett
13,Vijay Raaz
13,Ranvir Shorey
13,Jun Fukuyama
12,Manoj Joshi
12,Rajesh Sharma
12,Johnny Lever
12,Tinnu Anand
12,Sachin Khedekar
12,Vipin Sharma
12,Kulbhushan Kharbanda
12,Erin Mathews
12,Johnny Depp
12,Jason Schwartzman
12,Maaya Sakamoto
12,Javed Sheikh
12,Guy Pearce
12,Sam Vincent
12,Jim Broadbent
12,Pankaj Tripathi
12,Keith David
12,Raghuvir Yadav
12,Mahesh Manjrekar
12,Radhika Apte
11,Cassandra Morris
11,Juhi Chawla
11,Halle Berry
11,Cam Clarke
11,Demet Akbağ
11,Stephen Fry
11,Divya Dutta
11,Julie Tejwani
11,Jeff Dunham
11,Takehito Koyasu
11,John Dunsworth
11,Tay Ping Hui
11,David Cross
11,Kevin Michael Richardson
11,Miyuki Sawashiro
11,Jimmy Shergill
11,Adam Scott
11,Alfred Molina
11,Paul Rudd
11,Fred Armisen
11,Keanu Reeves
11,Pavan Malhotra
11,Mike Smith
11,Saurabh Shukla
11,Nassar
11,Abhay Deol
11,Satoshi Hino
11,John C. Reilly
11,Sean Astin
11,Ryan Reynolds
11,Shakti Kapoor
10,Cindy Robinson
10,Seema Biswas
10,Woody Harrelson
10,Bruce Willis
10,Kazuya Nakai
10,Janeane Garofalo
10,Mithun Chakraborty
10,Sanjay Dutt
10,Tamannaah Bhatia
10,John Michael Higgins
10,Atul Kulkarni
10,Vivek Oberoi
10,Kenjiro Tsuda
10,Joan Cusack
10,Johnny Yong Bosch
10,Jackie Chan
10,Tony Hale
10,Laurence Fishburne
10,Jigna Bharadhwaj
10,Grey DeLisle
10,Robert Patrick
10,Michael Madsen
10,B.N. Sharma
10,John Travolta
10,Satish Shah
10,Michael Peña
10,Will Smith
10,Paul Schrier
10,Christina Hendricks
10,Sardar Sohi
10,Mohnish Bahl
10,Junko Takeuchi
10,Stephanie Sheh
10,Arjun Rampal
10,Rupa Bhimani
10,Sathyaraj
10,Steven Yeun
10,Fumiko Orikasa
10,Ben Kingsley
10,Sharat Saxena
10,Cate Blanchett
10,Ramya Krishnan
10,Yoko Hikasa
10,Sanjay Mishra
10,Ben Mendelsohn
10,John Abraham
10,Patton Oswalt
10,Kathryn Hahn
10,Nicole Oliver
10,Ray Liotta
10,Rosario Dawson
10,Liev Schreiber
10,Rajkummar Rao
9,Vidya Balan
9,Sam Worthington
9,Harvey Keitel
9,Dermot Mulroney
9,Tom Kenny
9,Russell Peters
9,Patrick Warburton
9,Justin Long
9,Andy Samberg
9,Don Cheadle
9,Michela Luci
9,Rikiya Koyama
9,Sonam Kapoor
9,Yoshimasa Hosoya
9,Jay Baruchel
9,Will Ferrell
9,Oprah Winfrey
9,M・A・O
9,Gerard Butler
9,Donnie Yen
9,Hrithik Roshan
9,America Young
9,Rebecca Shoichet
9,Rishi Kapoor
9,George Clooney
9,Christopher Lee
9,Sonal Kaushal
9,Meryl Streep
