1,"Michael Fred Phelps, II",M,23,United States,Swimming,2008 Summer,8,0,0,8
2,Mark Andrew Spitz,M,22,United States,Swimming,1972 Summer,7,0,0,7
3,"Michael Fred Phelps, II",M,19,United States,Swimming,2004 Summer,6,0,2,8
4,Kristin Otto,F,22,East Germany,Swimming,1988 Summer,6,0,0,6
4,Vitaly Venediktovich Shcherbo,M,20,Unified Team,Gymnastics,1992 Summer,6,0,0,6
5,Matthew Nicholas "Matt" Biondi,M,22,United States,Swimming,1988 Summer,5,1,1,7
5,"Willis Augustus Lee, Jr.",M,31,United States,Shooting,1920 Summer,5,1,1,7
6,"Michael Fred Phelps, II",M,31,United States,Swimming,2016 Summer,5,1,0,6
7,Nedo Nadi,M,25,Italy,Fencing,1920 Summer,5,0,0,5
7,Paavo Johannes Nurmi,M,26,Finland,Athletics,1924 Summer,5,0,0,5
